"","Ticker","EPS_ttm","Beta"
"1","A",3.4,1.45
"2","AAL",3.32,1.66
"3","AAP",6.57,0.86
"4","AAPL",11.51,1.22
"5","ABBV",2.78,0.94
"6","ABC",4.18,0.98
"7","ABMD",5.59,0.38
"8","ABT",1.64,1.13
"9","ACN",7.36,1.05
"10","ADBE",5.65,1.09
"11","ADI",4.07,1.44
"12","ADM",2.28,1.1
"13","ADP",5.24,0.89
"14","ADS",16.12,1.68
"15","ADSK",0.18,1.85
"16","AEE",3.22,0.24
"17","AEP",3.97,0.08
"18","AES",0.62,1.04
"19","AFL",4.12,0.7
"20","AGN",-25.6,1.64
"21","AIG",-0.08,1.21
"22","AIV",6.06,0.5
"23","AIZ",5.68,0.48
"24","AJG",3.76,0.81
"25","AKAM",2.57,0.63
"26","ALB",4.95,1.67
"27","ALGN",5.16,1.98
"28","ALK",4.08,0.8
"29","ALL",7.55,0.82
"30","ALLE",4.37,1.16
"31","ALXN",5.49,1.64
"32","AMAT",3,1.64
"33","AMCR",0.57,NA
"34","AMD",0.19,3.05
"35","AME",3.52,1.21
"36","AMG",-2.56,1.68
"37","AMGN",12.63,1.07
"38","AMP",13.56,1.86
"39","AMT",3.31,0.44
"40","AMZN",23.81,1.58
"41","ANET",9.06,1.6
"42","ANSS",5.1,1.39
"43","ANTM",15.4,0.73
"44","AON",5.94,0.86
"45","AOS",2.48,1.49
"46","APA",-1.18,1.95
"47","APD",7.8,0.87
"48","APH",4.01,1.04
"49","APTV",3.78,2.04
"50","ARE",3.5,0.72
"51","ARNC",1,1.46
"52","ATO",4.25,0.18
"53","ATVI",1.82,0.87
"54","AVB",6.59,0.48
"55","AVGO",7.19,0.9
"56","AVY",2.77,1.31
"57","AWK",3.29,0.07
"58","AXP",7.49,1.05
"59","AZO",59.13,0.61
"60","BA",8.54,1.27
"61","BAC",2.81,1.61
"62","BAX",2.61,1
"63","BBT",4,1.18
"64","BBY",5.61,1.15
"65","BDX",4,1.1
"66","BEN",2.53,1.25
"67","BF-B",1.53,0.65
"68","BHGE",0.13,1.02
"69","BIIB",27,1.03
"70","BK",3.74,1.12
"71","BKNG",89.2,1.12
"72","BLK",26.3,1.56
"73","BLL",1.68,0.73
"74","BMY",3.81,0.66
"75","BR",4.07,0.7
"76","BRK-B",17611.19,NA
"77","BSX",0.95,0.79
"78","BWA",3.79,1.83
"79","BXP",3.43,0.87
"80","C",7.16,1.79
"81","CAG",1.43,0.87
"82","CAH",4.51,1.31
"83","CAT",10.27,1.5
"84","CB",8.11,0.71
"85","CBOE",4.56,NA
"86","CBRE",3.17,1.69
"87","CBS",8.01,1.21
"88","CCI",1.73,0.3
"89","CCL",4.42,1.13
"90","CDNS",1.5,1.17
"91","CDW",4.58,1.09
"92","CE",7.98,1.37
"93","CELG",7.25,1.39
"94","CERN",1.87,0.93
"95","CF",2.08,0.96
"96","CFG",3.67,1.47
"97","CHD",2.39,0.13
"98","CHRW",5,0.64
"99","CHTR",5.9,1.19
"100","CI",10.93,0.69
"101","CINF",7.41,0.64
"102","CL",2.72,0.74
"103","CLX",6.33,0.38
"104","CMA",7.74,1.55
"105","CMCSA",2.66,1.08
"106","CME",5.12,0.19
"107","CMG",8.62,0.72
"108","CMI",15.73,1.14
"109","CMS",1.94,0.07
"110","CNC",3.04,0.82
"111","CNP",1.13,0.51
"112","COF",11.56,1.27
"113","COG",1.93,0.54
"114","COO",9.32,0.91
"115","COP",6.18,1.04
"116","COST",7.9,0.92
"117","COTY",-5.04,0.74
"118","CPB",1.58,0.41
"119","CPRI",2.66,0.86
"120","CPRT",2.47,0.8
"121","CRM",1.26,1.21
"122","CSCO",2.8,1.29
"123","CSX",4.16,1.23
"124","CTAS",8.43,0.99
"125","CTL",-7.42,0.89
"126","CTSH",3.6,1.05
"127","CTVA",-7.41,NA
"128","CTXS",3.52,1.05
"129","CVS",3.47,0.83
"130","CVX",7.71,1.01
"131","CXO",2.45,1.26
"132","D",1.55,0.21
"133","DAL",7.14,1.16
"134","DD",-0.41,NA
"135","DE",10.1,1.16
"136","DFS",8.53,1.63
"137","DG",6.18,0.53
"138","DGX",5.15,0.86
"139","DHI",4.16,1.01
"140","DHR",3.41,0.95
"141","DIS",7.78,0.97
"142","DISCA",2.4,1.54
"143","DISCK",2.06,NA
"144","DISH",2.71,1.4
"145","DLR",1.09,0.4
"146","DLTR",-6.63,0.56
"147","DOV",4.16,1.49
"148","DOW",2.77,NA
"149","DRE",0.64,0.69
"150","DRI",5.77,0.37
"151","DTE",6.06,0.22
"152","DUK",4.53,0.08
"153","DVA",3.29,1.59
"154","DVN",2.56,2.41
"155","DXC",3.94,1.96
"156","EA",7.14,0.94
"157","EBAY",2.09,1.41
"158","ECL",5.36,0.83
"159","ED",4.21,0.06
"160","EFX",-3.53,1.21
"161","EIX",-0.87,0.12
"162","EL",4.83,0.78
"163","EMN",6.41,1.41
"164","EMR",3.14,1.37
"165","EOG",6.05,1.37
"166","EQIX",5.97,0.71
"167","EQR",1.96,0.46
"168","ES",2.72,0.2
"169","ESS",6.22,0.31
"170","ETFC",4.06,1.25
"171","ETN",5.14,1.42
"172","ETR",5.1,0.27
"173","EVRG",2.36,0.17
"174","EW",3.61,0.8
"175","EXC",2.34,0.27
"176","EXPD",3.71,0.95
"177","EXPE",4.05,1.1
"178","EXR",3.28,0.17
"179","F",0.51,1.1
"180","FANG",6.25,0.83
"181","FAST",1.32,1.23
"182","FB",5.9,1.05
"183","FBHS",2.86,1.49
"184","FCX",0.59,2.44
"185","FDX",1.45,1.71
"186","FE",2.33,0.19
"187","FFIV",7.72,1.07
"188","FIS",2.3,0.64
"189","FISV",2.43,0.77
"190","FITB",2.97,1.4
"191","FLIR",2.02,1.15
"192","FLS",1.53,1.69
"193","FLT",10.14,1.1
"194","FMC",4.99,1.5
"195","FOX",2.57,NA
"196","FOXA",2.57,NA
"197","FRC",4.97,0.89
"198","FRT",3.3,0.44
"199","FTI",-4.41,NA
"200","FTNT",2.31,1.07
"201","FTV",1.77,1.22
"202","GD",11.29,1.17
"203","GE",-2.46,1.14
"204","GILD",4.63,1.09
"205","GIS",3.08,0.7
"206","GL",6.32,0.96
"207","GLW",1.66,1.15
"208","GM",6.14,1.44
"209","GOOG",49.54,NA
"210","GOOGL",49.54,1.02
"211","GPC",5.39,0.95
"212","GPN",2.92,0.97
"213","GPS",2.54,0.72
"214","GRMN",3.88,0.91
"215","GS",22.58,1.36
"216","GWW",14.68,0.96
"217","HAL",1.46,1.42
"218","HAS",2.39,1.07
"219","HBAN",1.26,1.47
"220","HBI",1.53,1.19
"221","HCA",9.51,0.89
"222","HCP",2.01,0.2
"223","HD",9.97,1.03
"224","HES",-0.16,1.95
"225","HFC",5.32,1.45
"226","HIG",4.33,0.65
"227","HII",16.15,1.18
"228","HLT",2.76,1.09
"229","HOG",2.72,1.21
"230","HOLX",-0.09,0.78
"231","HON",8.85,1.11
"232","HP",-0.78,1.62
"233","HPE",0.73,1.63
"234","HPQ",2.72,1.47
"235","HRB",2.11,0.23
"236","HRL",1.82,0.06
"237","HSIC",3.15,0.86
"238","HST",1.48,1.14
"239","HSY",5.74,0.07
"240","HUM",18.51,0.8
"241","IBM",12.01,1.36
"242","ICE",3.53,0.48
"243","IDXX",4.66,0.78
"244","IEX",5.5,1.23
"245","IFF",3.76,0.87
"246","ILMN",6.34,1.03
"247","INCY",1.41,0.95
"248","INFO",0.92,0.77
"249","INTC",4.27,0.92
"250","INTU",5.9,1.1
"251","IP",3.9,1.53
"252","IPG",1.66,1.13
"253","IPGP",5.84,2.17
"254","IQV",1.05,0.9
"255","IR",5.79,1.25
"256","IRM",1.25,0.54
"257","ISRG",10.01,1.14
"258","IT",2.34,1.22
"259","ITW",7.45,1.22
"260","IVZ",1.47,1.57
"261","JBHT",4.47,1.13
"262","JCI",1.27,0.96
"263","JEC",3.02,1.35
"264","JKHY",3.51,0.9
"265","JNJ",6.03,0.69
"266","JNPR",1.41,1.01
"267","JPM",9.82,1.2
"268","JWN",3.02,0.7
"269","K",2.48,0.54
"270","KEY",1.67,1.3
"271","KEYS",1.49,1.29
"272","KHC",-9.04,1.01
"273","KIM",0.8,0.58
"274","KLAC",7.4,1.72
"275","KMB",5.29,0.55
"276","KMI",1,0.78
"277","KMX",5.2,1.13
"278","KO",1.69,0.46
"279","KR",2.02,0.6
"280","KSS",4.55,1.06
"281","KSU",5.42,0.95
"282","L",2.44,0.67
"283","LB",2.06,0.84
"284","LDOS",4.41,1.51
"285","LEG",2.14,1.09
"286","LEN",6.08,1.05
"287","LH",8.76,1.02
"288","LHX",7.88,0.91
"289","LIN",9.38,NA
"290","LKQ",1.34,1.32
"291","LLY",4.4,0.18
"292","LMT",20.37,0.96
"293","LNC",7.08,1.99
"294","LNT",2.14,0.21
"295","LOW",3.2,1.28
"296","LRCX",13.71,1.65
"297","LUV",4.32,1.47
"298","LVS",3.43,1.63
"299","LW",3.22,NA
"300","LYB",9.59,1.38
"301","M",3.23,0.63
"302","MA",6.42,1.04
"303","MAA",2.07,0.29
"304","MAC",0.77,0.8
"305","MAR",4.18,1.28
"306","MAS",2.44,1.43
"307","MCD",7.71,0.5
"308","MCHP",1.53,1.43
"309","MCK",2.65,1.12
"310","MCO",6.14,1.21
"311","MDLZ",2.5,0.81
"312","MDT",3.27,0.63
"313","MET",6.08,1.13
"314","MGM",0.33,1.48
"315","MHK",10.91,1.29
"316","MKC",5.29,0.11
"317","MKTX",4.88,0.12
"318","MLM",8.04,1.14
"319","MMC",2.88,0.75
"320","MMM",8.22,1.12
"321","MNST",1.92,1.18
"322","MO",3.44,0.39
"323","MOS",0.66,1.65
"324","MPC",4.61,1.69
"325","MRK",3.71,0.55
"326","MRO",1.18,2.29
"327","MS",4.59,1.34
"328","MSCI",6.62,1.12
"329","MSFT",4.75,1.23
"330","MSI",5.45,0.59
"331","MTB",13.98,1.11
"332","MTD",21.66,1.39
"333","MU",5.46,1.96
"334","MXIM",3.05,1.41
"335","MYL",0.04,1.77
"336","NBL",-1.93,1.42
"337","NCLH",4.46,1.71
"338","NDAQ",4.96,0.65
"339","NEE",7.04,0.18
"340","NEM",-0.1,-0.04
"341","NFLX",2.48,1.24
"342","NI",0.3,0.23
"343","NKE",2.68,0.85
"344","NLSN",-2.59,0.92
"345","NOC",20.26,0.8
"346","NOV",-14.28,1.31
"347","NRG",1.5,0.8
"348","NSC",10.3,1.37
"349","NTAP",3.92,1.55
"350","NTRS",6.52,1.22
"351","NUE",7.11,1.64
"352","NVDA",3.82,2.03
"353","NVR",207.65,0.61
"354","NWL",-14.66,1.05
"355","NWS",0.26,NA
"356","NWSA",0.26,1.51
"357","O",1.3,0.03
"358","OKE",3.02,1.14
"359","OMC",6.07,0.74
"360","ORCL",3,1.15
"361","ORLY",16.77,0.69
"362","OXY",5.02,0.9
"363","PAYX",2.92,0.87
"364","PBCT",1.28,1.23
"365","PCAR",6.8,1.24
"366","PEG",2.89,0.3
"367","PEP",8.13,0.57
"368","PFE",2.05,0.65
"369","PFG",5.32,1.56
"370","PG",1.48,0.41
"371","PGR",5.5,0.66
"372","PH",11.59,1.56
"373","PHM",3.3,0.63
"374","PKG",8.34,1.68
"375","PKI",2.24,1.31
"376","PLD",2.86,1
"377","PM",5.04,1
"378","PNC",11.07,1.11
"379","PNR",2.19,1.17
"380","PNW",4.41,0.07
"381","PPG",4.97,1.23
